№;Этап;Что делаем (простыми словами);Что вы получите;Срок;Примерные даты
1;Подготовка веб-админки;Разворачиваем веб-панель управления на вашем домене, настраиваем вход по логину и паролю;Личный кабинет администратора в браузере, доступный по ссылке;~1 день;19-20 июня
2;Админка: мероприятия и билеты;Раздел для создания событий (Энерго Баня, ретриты): дата и время, своя цена на каждый тип билета, количество мест (общее или мужские/женские), галочки «гендерный баланс» и «показывать заранее», своя скидка для подписчиков на каждое мероприятие, календарь расписания;Возможность самим вести расписание, цены и скидки мероприятий без программиста;~2 дня;20-22 июня
3;Админка: подписки, скидка клуба, кнопки меню;Управление подписчиками (ручное продление и отключение), настройка процента скидки для участников клуба, переименование кнопок меню бота;Полный контроль над подписками и текстами кнопок;~1 день;22-23 июня
4;Бот: продажа билетов;В боте появляется раздел «Мероприятия»: показ ближайших событий (баня — только ближайшая, ретриты — все), выбор типа билета (мужской / женский / парный), оплата и электронный билет;Пользователи покупают билеты прямо в боте;~2 дня;23-25 июня
5;Скидка подписчикам на билеты;Если у пользователя активная подписка 11:11 — цена билета показывается со скидкой. Для бань общая скидка, для каждого ретрита — своя;Автоматическая скидка для участников клуба;~0,5 дня;25 июня
6;Реферальная программа (пока для бань);У каждого пользователя своя ссылка (/ссылка). Новичок получает скидку (по умолчанию 500 руб), пригласивший — бонус (по умолчанию 1000 руб) после даты мероприятия. Суммы меняются в админке. Бонусами можно оплачивать (до 50% суммы). В админке — цепочки приглашений и ручное начисление. На ретриты рефералку докрутим позже;Сарафанное привлечение новых клиентов с бонусами;~1,5 дня;25-27 июня
7;Мои билеты и возвраты;Раздел «Мои билеты» (прошедшие скрыты). Возврат — запрос менеджеру в индивидуальном порядке, деньги возвращаются ручным переводом. Кнопку «Перенос» пока не делаем. Автовозврат через ЮKassa и движок правил — отдельно, при необходимости;Удобная работа с билетами, возвраты под контролем менеджера;~1 день;27-28 июня
8;Статистика и уведомления;Статистика в админке (доход от подписок и билетов, число подписчиков, эффективность рефералки), напоминание за день до мероприятия, отмена события с уведомлением и возвратом всем купившим;Полная картина по деньгам и автоматические напоминания;~1 день;29-30 июня
9;Тестирование и запуск;Сквозная проверка всех сценариев, исправление мелочей, выкатка обновления на рабочий сервер;Готовый протестированный бот с новыми функциями;~1 день;30 июня - 1 июля
;ИТОГО;;Все функции из обновлённого ТЗ;~1,5 недели;19 июня - 1 июля
