№;Блок;Функция;Что входит;Стоимость, ₽;Срок
;СМЕТА на доработку бота клуба «11:11». Дата: 09.07.2026. Базовый проект (бот + веб-админка) сдан ранее.;;;;
;БЕСПЛАТНО (гарантийные баги);;;;
Б1;Гарантия;Показ мероприятий;Ретриты видны все, баня — ближайшая (сейчас показывалась только одна баня);0;в рамках гарантии
Б2;Гарантия;Поведение при нуле мест;Событие не пропадает — остаётся в списке с пометкой «Мест нет» и кнопкой «Поддержка»;0;в рамках гарантии
;;;Итого бесплатно;0;
;СПРИНТ 1 — Меню, навигация, рефералка;;;;
1;Спринт 1;Переделка главного меню;Новая структура: Вступить в Клуб 11:11 (подписчику — Клуб 11:11 Новая реальность), ряд Бани/Ретриты, ряд Йога/Консультации, Пригласить друга, ряд Мои билеты/Поддержка;;3–5 раб. дней
2;Спринт 1;Мелкие правки навигации;Кнопка Главное меню на старт, убран лишний раздел menu, кнопка Назад на всех экранах, в Мои билеты вместо Возврат — Поддержка, Пригласить друга перенесена на главную;;
3;Спринт 1;Рефералка на все покупки;Реф-программа расширена на ретриты, йогу, консультации и подписку (не только баня);;
4;Спринт 1;Уведомление пригласившему;Сообщение — твой друг купил билет/подписку, начислится ХХХ бонусов после ДД.ММ;;
5;Спринт 1;Раздел Мои бонусы;Активные бонусы, сколько скоро начислится, всего за всё время;;
6;Спринт 1;Надпись про 24 часа;При переходе по реф-ссылке — скидка действует 24 часа (без реального таймера);;
;;;Итого Спринт 1;15 000;
;СПРИНТ 2 — Тарифы и скидки;;;;
7;Спринт 2;Двухуровневый тариф подписки;Первый месяц дороже (напр. 5555), при непрерывном продлении дешевле (напр. 4444), при перерыве — снова цена первого месяца;;3–5 раб. дней
8;Спринт 2;Скидка на продление подписчикам;В админке задаётся процент ИЛИ конкретная сумма (полная цена / цена для подписчика);;
9;Спринт 2;Приоритет промокода;При фиксированной промо-цене скидки не суммируются — оплата по промокоду;;
10;Спринт 2;Динамические цены ранним покупателям;Пороги по датам до события (напр. за неделю 1000, за 3 дня 1500, в день 2000), настройка в админке;;
11;Спринт 2;Согласие на обработку ПД;Экран согласия + текст условий (текст Политики предоставляет заказчик);;
;;;Итого Спринт 2;15 000;
;СПРИНТ 3 — Новые направления и рассылки;;;;
12;Спринт 3;Направление Йога;Новый тип мероприятий — цены, показ в боте и админке;;4–6 раб. дней
13;Спринт 3;Направление Консультации с пакетами;Пакеты 1/4/8/12 консультаций, чем больше пакет — тем выгоднее цена за одну, учёт остатка;;
14;Спринт 3;Сегментированная рассылка;Сообщение только участникам конкретного события (напр. всем на сегодняшнюю баню);;
;;;Итого Спринт 3;15 000;
;ИТОГО;;Всего по спринтам (без ИИ-ассистента);45 000;2–3 недели
;Не входит (оценивается отдельно);ИИ-ассистент;Прогрев и ответы клиентам — самостоятельный проект со своим ТЗ;по ТЗ;
;Не входит (опция);Реальный таймер реф-скидки;Техническое ограничение 24 часа (по умолчанию — только надпись);опция;
;Условия;;Спринты последовательно, оплата поэтапно (по факту сдачи спринта или 50% предоплата на старте). Баги правятся бесплатно по гарантии.;;
